"Weight to","Weight to"
"New InPost Parcel template","New InPost Parcel template"
"Parcel Template details","Parcel Template details"
"Setting this field to yes will disable other default parcel template","Setting this field to yes will disable other default parcel template"
"Parcel type","Parcel type"
"Parcel template label","Parcel template label"
"Dimension unit","Dimension unit"
"Weight unit","Weight unit"
"Parcel comment","Parcel comment"
"You can use {orderId} to automatically set order number here. This field will appear on label only if filled together with barcode","You can use {orderId} to automatically set order number here. This field will appear on label only if filled together with barcode"
"Parcel barcode","Parcel barcode"
"This field will appear on label only if filled together with comment","This field will appear on label only if filled together with comment"
"Delete pickup","Delete pickup"
"Are you sure you want to delete this pickup?","Are you sure you want to delete this pickup?"
"Delete pickup address","Delete pickup address"
"Are you sure you want to delete this pickup address?","Are you sure you want to delete this pickup address?"
"Delete Parcel Template","Delete Parcel Template"
"Are you sure you want to delete this parcel template?","Are you sure you want to delete this parcel template?"
"Packages:","Packages:"
"Total weight:","Total weight:"
"Insurance:","Insurance:"
"Delete price","Delete price"
"Are you sure you want to delete this weight-based price?","Are you sure you want to delete this weight-based price?"
"N/A","N/A"
"Add Pickup address","Add Pickup address"
"Add Pickup","Add Pickup"
"Add Shipment","Add Shipment"
"Add Parcel Template","Add Parcel Template"
"Add weight-based price","Add weight-based price"
"Destination point name is missing in order.","Destination point name is missing in order."
"Cannot create a ZIP file.","Cannot create a ZIP file."
"Pickup with the same UUID already exists.","Pickup with the same UUID already exists."
"Invalid pickup time format.","Invalid pickup time format."
"Shipment with the same UUID already exists.","Shipment with the same UUID already exists."
"Weight from value must be less than weight to value.","Weight from value must be less than weight to value."
"max","max"
"InPost International","InPost International"
"Shipments","Shipments"
"Pickups","Pickups"
"Pickup addresses","Pickup addresses"
"Parcel templates","Parcel templates"
"Weight-based prices","Weight-based prices"
"Carrier configuration","Carrier configuration"
"Module configuration","Module configuration"
"InPost International - International shipment to point","InPost International - Przesyłka międzynarodowa do punktu"
"Enabled","Enabled"
"Title","Title"
"Method name","Method name"
"Price calculation type","Price calculation type"
"When cart weight is out of range","When cart weight is out of range"
"Enable free shipping threshold","Enable free shipping threshold"
"Free shipping amount threshold","Free shipping amount threshold"
"Free shipping amount threshold including tax","Free shipping amount threshold including tax"
"Position","Position"
"Logo for checkout","Logo for checkout"
"Max cart weight","Max cart weight"
"Ship to applicable countries","Ship to applicable countries"
"Ship to specific countries","Ship to specific countries"
"Mode","Mode"
"Production client ID","Production client ID"
"Production client secret","Production client secret"
"Sandbox client ID","Sandbox client ID"
"Sandbox client secret","Sandbox client secret"
"Production geowidget token","Production geowidget token"
"Sandbox geowidget token","Sandbox geowidget token"
"Weight attribute code","Weight attribute code"
"Automatically create InPost shipment after order placement","Automatically create InPost shipment after order placement"
"Automatically create an order shipment after creating an InPost shipment","Automatically create an order shipment after creating an InPost shipment"
"After creating an InPost shipment change order status","After creating an InPost shipment change order status"
"Automatically set insurance to InPost shipments","Automatically set insurance to InPost shipments"
"Insurance fixed value","Insurance fixed value"
"Production well-known url","Production well-known url"
"Sandbox well-known url","Sandbox well-known url"
"Sender data and settings","Sender data and settings"
"Sending country","Sending country"
"Language","Language"
"If a product in the shopping cart has no weight, its weight is treated as zero.","If a product in the shopping cart has no weight, its weight is treated as zero."
"Allowed file types: jpg, jpeg, gif, png","Allowed file types: jpg, jpeg, gif, png"
"The default value of 25 refers to the maximum weight of a package that Inpost delivers in kilograms. If you use a different unit, adjust this value and set the appropriate unit in the ""Inpost - general configuration"" section","The default value of 25 refers to the maximum weight of a package that Inpost delivers in kilograms. If you use a different unit, adjust this value and set the appropriate unit in the ""Inpost - general configuration"" section"
"Client ID and Client Secret needs to be saved before You will request authorization. Authorization needs to be refreshed after mode change.","Client ID and Client Secret needs to be saved before You will request authorization. Authorization needs to be refreshed after mode change."
"Module version","Module version"
"setup:upgrade required, module.xml version","setup:upgrade required, module.xml version"
"Request Authorization","Request Authorization"
"Point:","Point:"
"Save","Save"
"Back","Back"
"Enable","Enable"
"Disable","Disable"
"Yes","Yes"
"Cancel","Cancel"
"Action","Action"
"Pickup for postal code %1 possible until: %2","Pickup for postal code %1 possible until: %2"
"Poland","Poland"
"Selected pickup point: %1","Selected pickup point: %1"
